ID,Category,Topic,Description
1,Core Fraud Concepts & Principles,Fraud Triangle/Diamond,"Understanding the three/four elements (Pressure, Opportunity, Rationalization, and Capability) that lead to occupational fraud."
2,Core Fraud Concepts & Principles,Fraud Taxonomy/Typology,"Classification of fraud into categories (e.g., internal vs. external, corruption, asset misappropriation, financial statement fraud)."
3,Core Fraud Concepts & Principles,Financial Crime Lifecycle,"Stages of a financial crime: offense, placement, layering, integration."
4,Core Fraud Concepts & Principles,Red Flags & Indicators,"Identifying unusual patterns, behavioral changes, or accounting anomalies that signal potential fraud."
5,Core Fraud Concepts & Principles,Internal vs. External Fraud,"Distinguishing schemes committed by employees (occupational fraud) versus those by outside parties (e.g., customers, cybercriminals)."
6,Core Fraud Concepts & Principles,ACFE Definition of Fraud,"Understanding the Association of Certified Fraud Examiners' classification of fraud."
7,Core Fraud Concepts & Principles,The Psychology of the Fraudster,"Exploring the motivations, behavioral traits, and moral reasoning of individuals who commit financial fraud."
8,Core Fraud Concepts & Principles,Loss Quantification Methods,"Techniques for accurately calculating the monetary loss resulting from a fraudulent scheme."
9,Core Fraud Concepts & Principles,Elements of Proof (Legal),"The required components to prove fraud in a legal setting (e.g., misrepresentation, intent, reliance, damages)."
10,Core Fraud Concepts & Principles,Financial Exploitation of Vulnerable Adults,"Specific schemes and protective measures related to elderly or incapacitated individuals."
11,Common Fraud Schemes: Identity & Payment,Identity Theft & Social Security Fraud,"Theft and misuse of personal identifying information (PII) to commit financial crimes."
12,Common Fraud Schemes: Identity & Payment,Synthetic Identity Fraud,"Creating new, false identities using a mix of real and fake information."
13,Common Fraud Schemes: Identity & Payment,Account Takeover (ATO) Fraud,"Gaining unauthorized access to a legitimate customer account."
14,Common Fraud Schemes: Identity & Payment,Credit Card Fraud (CNP & Card Skimming),"Unauthorized use of card details, especially Card-Not-Present (CNP) and physical skimming attacks."
15,Common Fraud Schemes: Identity & Payment,Check Fraud & Counterfeiting,"Forging, altering, or creating fake checks."
16,Common Fraud Schemes: Identity & Payment,Wire Transfer Fraud,"Unauthorized or deceptive movement of funds via wire or ACH systems."
17,Common Fraud Schemes: Identity & Payment,Authorized Push Payment (APP) Fraud,"Tricking a victim into willingly transferring funds to a fraudster's account."
18,Common Fraud Schemes: Identity & Payment,Chargeback Fraud,"Customers falsely claiming a charge was unauthorized to receive a refund."
19,Common Fraud Schemes: Identity & Payment,Cryptocurrency & Blockchain Fraud,"Scams related to digital assets (e.g., rug pulls, exchange hacks)."
20,Common Fraud Schemes: Corporate & Organizational,Financial Statement Fraud,"Intentional misstatement or omission of financial data to deceive users (e.g., revenue manipulation)."
21,Common Fraud Schemes: Corporate & Organizational,Asset Misappropriation (Cash/Inventory),"Theft of company assets (e.g., embezzlement, skimming, fictitious expenses)."
22,Common Fraud Schemes: Corporate & Organizational,Procurement Fraud & Bid Rigging,"Corruption in the purchasing process (e.g., kickbacks, phantom vendors)."
23,Common Fraud Schemes: Corporate & Organizational,Payroll Fraud & Ghost Employees,"Falsifying payroll records to issue payments to non-existent or ineligible individuals."
24,Common Fraud Schemes: Corporate & Organizational,Expense Reimbursement Fraud,"Submitting false or inflated expense claims for personal gain."
25,Common Fraud Schemes: Corporate & Organizational,Bribery and Corruption,"Offering, giving, receiving, or soliciting anything of value to influence an action or decision."
26,Common Fraud Schemes: Corporate & Organizational,Insider Trading,"Buying or selling a security in breach of a fiduciary duty while in possession of material, non-public information."
